id,label,username,followers
554642415,lionnelluca06,Lionnel Luca,26603.0
413819531,fpupponi,François Pupponi,7017.0
110950142,jpbacquet,Jean-Paul Bacquet,377.0
581634493,Jean_Grellier,Jean Grellier,613.0
494847902,fxvillain,François-Xavier VILLAIN,445.0
85531043,ArnaudRobinet,Arnaud Robinet,41756.0
76584619,damienabad,Damien Abad,35219.0
432375298,ClergeauMf,mfclergeau,4213.0
568099321,pbloche,Patrick BLOCHE,13865.0
83784709,cestrosi,Christian Estrosi,194203.0
440072232,PhilippeCochet,Philippe Cochet,7491.0
382747703,StTRAVERT,STEPHANE TRAVERT Avec Vous,20562.0
68383304,MichelPouzol,Michel Pouzol,6188.0
450644069,PotierDominique,Dominique Potier,10433.0
279137479,JLBorloo,Jean-Louis BORLOO,192972.0
415008577,Claudine_Schmid,Claudine_Schmid,2146.0
505998825,jp_gille,Jean-Patrick Gille,8343.0
224265528,JCBOUCHET,JEAN-CLAUDE BOUCHET,2163.0
203853981,pierrealainmuet,Pierre Alain Muet,4352.0
456993474,jakossowski,Jacques Kossowski,5476.0
110940366,bretonxavier,Xavier BRETON,9483.0
400220155,Marclaffineur,Marc Laffineur,5846.0
98405344,S_Mazetier,Sandrine Mazetier,18878.0
203828194,pterrasse,Pascal Terrasse🇺🇦,14230.0
879705997,cotteljj,cottel jean jacques,1560.0
531036044,laurentbaumel,Laurent Baumel,9247.0
438305534,RichardFerrand,Richard Ferrand,108875.0
456917253,SylvieTolmont,Sylvie Tolmont 🌹,2972.0
116229959,solere92,Thierry SOLERE,27702.0
424117102,Cdganay,Claude de Ganay,5400.0
136895502,sy_berrios,Sylvain Berrios,2870.0
140086525,jeanlouiscostes,Jean-Louis COSTES,2230.0
518368742,CaroleDelga,Carole Delga,67187.0
504963196,gchevrollier,Guillaume Chevrollier,3306.0
35521057,LGRANDGUILLAUME,L Grandguillaume,22399.0
17271007,Denis_Baupin,Denis_Baupin,16744.0
487428087,jmbeffara,jmbefarra,1061.0
347137825,Th_Braillard,Thierry Braillard,22038.0
127768933,ArnaudRichard_,Arnaud Richard,5031.0
1022379288,BLesterlin,Bernard Lesterlin,665.0
796057206,ODassault,Olivier Dassault,5725.0
110459051,marclefur,Marc Le Fur,14492.0
24524648,MartineFaure,Martine Faure,693.0
191366432,pyleborgn,Pierre-Yves Le Borgn,2784.0
520259649,JulienAubert84,Julien Aubert,45718.0
588978078,JS_Vialatte,J-Sébastien Vialatte,1531.0
284542499,BernardAccoyer,Bernard Accoyer,29153.0
492247783,Raimbourg2012,Raimbourg 2012,457.0
215292075,christianpaul58,Christian Paul,17622.0
401888912,PhilippeVitel,Philippe Vitel,5041.0
69410374,noelmamere,Noel Mamère,760.0
495145784,LellouchePierre,Pierre Lellouche,15454.0
440704680,AnneGrommerch,Anne Grommerch,2106.0
436816838,C_deCourson,Charles de Courson,10635.0
60626246,RHammadi,Razzy Hammadi,24518.0
393306373,jmclement86,Jean-Michel Clément,3915.0
569194586,SeybahDagoma,Seybah Dagoma,4880.0
436780101,BertrandPancher,Bertrand Pancher,7865.0
516342405,gilleslurton,Gilles Lurton,6990.0
465430756,CCaresche,Christophe Caresche,5541.0
494120525,gilbertlebris,gilbertlebris,2227.0
38170599,dupontaignan,N. Dupont-Aignan,337370.0
534130523,a_leboeuf,Alain LEBOEUF,6103.0
471886242,JeanMarieTetart,Jean-Marie Tetart,2070.0
57315555,Dbussereau,Dominique Bussereau,27868.0
1446374768,MichelPiron,Michel Piron,4764.0
572189277,PhilippeLERAY56,Philippe Le Ray,1829.0
474789922,F_DombreCoste,Fanny Dombre-Coste,3876.0
519525122,moniqueorphe,Monique Orphé,2173.0
899545604,Ayledain,Anne-Yvonne Le Dain #EnsembleCitoyens #AvecVous,7149.0
1506150265,BNAzerot,Bruno-Nestor Azérot,1658.0
443129202,Valerie_Rabault,Valérie Rabault 🇨🇵🇪🇺🇺🇦,23298.0
856059444,G_ROUILLARD,Gwendal ROUILLARD,9395.0
501762650,patricklabaune,Patrick Labaune,3063.0
440954376,mandonthierry,Thierry Mandon,17525.0
26725581,JeromeGuedj,Jérôme Guedj,25190.0
296733634,CaVautrin,Catherine Vautrin,22247.0
842102300,ericalauzet,Éric Alauzet,4990.0
209825928,GDarmanin,Gérald DARMANIN,330990.0
278063562,olivierdussopt,Olivier Dussopt,46412.0
551669623,FrancoisFillon,François Fillon,620704.0
569864901,GBOURDOULEIX,Gilles BOURDOULEIX,2934.0
49967601,bardyserge,serge bardy,1678.0
374184532,BrunoLeMaire,Bruno Le Maire,638150.0
87711812,A_Suguenot,Alain Suguenot,3804.0
85541760,SebastienHuyghe,Sébastien Huyghe ‏ن,21630.0
550973825,BrigitteAllain,Brigitte Allain,3088.0
116025332,DDouillet,David Douillet,16675.0
600345740,olivierveran,Olivier Véran,414584.0
465576689,Chabanne_Nat,Nathalie Chabanne,3131.0
441892644,MichelZumkeller,Michel Zumkeller,4499.0
254629290,alainchretien,Alain Chrétien,5862.0
216290050,ccavard,Christophe Cavard,3443.0
34225599,Herve_Morin,Hervé Morin,97717.0
538945428,DAUBRESSE_MP,Marc-Philippe Daubresse,9618.0
224537286,Fmassat09,frederique massat,2902.0
56100309,HuguesFourage,Hugues Fourage,2125.0
242603803,jvlody,Jean Jacques Vlody,1338.0
471163803,GilbertCollard,Gilbert Collard,323433.0
388805808,GeorgesFENECH,Georges FENECH,13108.0
889674270,DevedjianP,Patrick Devedjian,8964.0
85947555,rudysalles,Rudy Salles,7348.0
817779691,AlexisBachelay,Alexis Bachelay,11560.0
555333116,JeanLucBleunven,Jean-Luc Bleunven,2658.0
288670629,DominiqueDord,Dominique Dord,5197.0
455806353,FdeRugy,François de Rugy,80550.0
409284332,JFMancel,Jean Francois Mancel,4481.0
75406026,Sauvadet,François Sauvadet,13130.0
449635096,jpblazy,Jean-Pierre BLAZY,1156.0
589263030,fdubois2012,Françoise Dubois,469.0
538295315,agrosskost,Arlette Grosskost,2964.0
613272422,ma_chapdelaine,M-A Chapdelaine,5204.0
872426652,AxelPoniatowski,Poniatowski Axel,1990.0
115003417,delaverpilliere,delaverpilliere,4689.0
267310445,DFasquelle,Daniel Fasquelle,23741.0
554183197,VLacroute,Valérie Lacroute,8358.0
306229486,YvesAlbarello,Yves Albarello,697.0
459093089,duboismarianne,Marianne Dubois,8555.0
444541404,Valerie_Corre,Valérie Corre,1044.0
16648630,yfavennec,Yannick FAVENNEC,9533.0
17172319,xavierbertrand,Xavier Bertrand,208214.0
26115394,PhilipCordery,Philip Cordery,4548.0
25489768,VincentFeltesse,Vincent Feltesse,16223.0
34898575,ebareigts,Ericka Bareigts,14016.0
579260704,GMChauveau,Guy-Michel Chauveau,1347.0
461101925,s_neuville,Ségolène Neuville,11923.0
169014052,deputepinville,Martine Pinville,253.0
342015978,Rihan_Cypel,Eduardo RIHAN CYPEL,9996.0
294099915,ar_leroy,Arnaud Leroy,12311.0
480272828,Alain_Gest,Alain Gest,5023.0
230495042,Juanico,Régis JUANICO,16399.0
945489566,PHouillon,Philippe Houillon,2238.0
450968514,Paul_Molac,Paul Molac,8686.0
177662118,GLarrive,Guillaume Larrivé,38242.0
18973057,philippebaumel,Philippe BAUMEL,1632.0
497074191,ClaudeGreff,Claude Greff,3595.0
494816955,MLReynaud16,Reynaud Marie-Line,935.0
376252824,ClaudeGoasguen,Claude Goasguen,20769.0
535168719,stephane_sta,Stéphane Saint-André,2086.0
409232344,MARLEIXAlain,MARLEIX Alain,693.0
334953814,GBachelay,Guillaume BACHELAY,6736.0
492616495,doorjean,Jean-Pierre Door,6431.0
408115726,PhilippeGomesCE,Philippe Gomès,2887.0
84895558,MLEFAIT,Michel LEFAIT Député,1491.0
523440964,CathyLemorton,Catherine LEMORTON,7335.0
455789179,LaurenceAbeille,Laurence Abeille,4866.0
522084022,fm_lambert,FM LAMBERT,15236.0
576463250,MeunierPh,ghjky,155.0
88685879,LucBELOT,Luc BELOT,6203.0
509948730,karamanli72,Marietta Karamanli,1013.0
532293856,AndreChassaigne,André Chassaigne,16249.0
574491833,jmcouve,Jean-Michel Couve,3257.0
599522435,plisson2012,Philippe Plisson,1458.0
94339111,olivier_carre,Olivier Carré,7304.0
532466430,GerardCherpion,Gérard Cherpion,3324.0
470370230,SergeLetchimy,Serge LETCHIMY,9178.0
87886754,ECiotti,Eric Ciotti,237031.0
120805649,PhilippeBIES,BIES Philippe,3751.0
364245967,OlivierMaud,MaudOlivier,4942.0
1072990877700763648,william_dumas,William Dumas,2.0
345938366,JJUrvoas,Jean-Jacques Urvoas,33230.0
356342009,Ch_Leonard,Christophe Léonard,1048.0
400219506,ClotildeVALTER,Clotilde VALTER,7216.0
74092783,yvesjego,Yves Jégo,37485.0
76662684,bernardreynes,reynes bernard,8943.0
372703035,MoniqueIborra,Monique Iborra,6940.0
417049363,Fred_Barbier,Frédéric Barbier,3130.0
87691954,ca_ginesy,Charles Ange Ginesy,10026.0
469126890,al_rousset,Alain Rousset,29080.0
499128441,blanc_etienne,Etienne BLANC,7776.0
164317127,germinalpeiro,Germinal Peiro,3171.0
54132631,ericstraumann,Eric Straumann,4916.0
538968658,AlainTourret,Alain Tourret,3418.0
46641505,Vauzelle,Michel Vauzelle,10288.0
52764210,lauredlr,Laure de La Raudière,23904.0
501242733,MHFabre,Marie-Hélène Fabre,1372.0
243300558,PierreMorange,Pierre Morange,735.0
191832590,JeanPierreGiran,Jean-Pierre Giran,709.0
518851788,JoaquimPueyo,Joaquim Pueyo,376.0
