source,target,weight,type,code
#ayrault,#matignon,1,undirected,#ayrault_to_#matignon
#circo2402,#eelv,1,undirected,#circo2402_to_#eelv
#circo2402,#ps,1,undirected,#circo2402_to_#ps
#eelv,#ps,1,undirected,#eelv_to_#ps
#eelv,#ps,1,undirected,#eelv_to_#ps
#eelv,#circo2402,1,undirected,#eelv_to_#circo2402
#eelv,#bergerac,1,undirected,#eelv_to_#bergerac
#ps,#circo2402,1,undirected,#ps_to_#circo2402
#ps,#bergerac,1,undirected,#ps_to_#bergerac
#circo2402,#bergerac,1,undirected,#circo2402_to_#bergerac
#pacé,#irodoüer,1,undirected,#pacé_to_#irodoüer
#pacé,#circo3503,1,undirected,#pacé_to_#circo3503
#irodoüer,#circo3503,1,undirected,#irodoüer_to_#circo3503
#circo2402,#bergerac,1,undirected,#circo2402_to_#bergerac
#brénod,#bellignat,1,undirected,#brénod_to_#bellignat
#brénod,#samognat,1,undirected,#brénod_to_#samognat
#brénod,#izernore,1,undirected,#brénod_to_#izernore
#brénod,#circo0105,1,undirected,#brénod_to_#circo0105
#bellignat,#samognat,1,undirected,#bellignat_to_#samognat
#bellignat,#izernore,1,undirected,#bellignat_to_#izernore
#bellignat,#circo0105,1,undirected,#bellignat_to_#circo0105
#samognat,#izernore,1,undirected,#samognat_to_#izernore
#samognat,#circo0105,1,undirected,#samognat_to_#circo0105
#izernore,#circo0105,1,undirected,#izernore_to_#circo0105
#echallon,#oyonnax,1,undirected,#echallon_to_#oyonnax
#oyonnax,#bugey,1,undirected,#oyonnax_to_#bugey
#ump,#législatives,1,undirected,#ump_to_#législatives
#eelv,#ps,1,undirected,#eelv_to_#ps
#eelv,#circo2402,1,undirected,#eelv_to_#circo2402
#ps,#circo2402,1,undirected,#ps_to_#circo2402
#bugey,#oyonnax,1,undirected,#bugey_to_#oyonnax
#ump,#législatives,1,undirected,#ump_to_#législatives
#circo24,#ps,1,undirected,#circo24_to_#ps
#circo24,#eelv,1,undirected,#circo24_to_#eelv
#ps,#eelv,1,undirected,#ps_to_#eelv
#circo3503,#législatives,1,undirected,#circo3503_to_#législatives
#cormaranche,#circo0105,1,undirected,#cormaranche_to_#circo0105
#législative,#circo0105,1,undirected,#législative_to_#circo0105
#montauban,#circo3503,1,undirected,#montauban_to_#circo3503
#peyriat,#nurieux,1,undirected,#peyriat_to_#nurieux
#peyriat,#législatives,1,undirected,#peyriat_to_#législatives
#peyriat,#circo0105,1,undirected,#peyriat_to_#circo0105
#nurieux,#législatives,1,undirected,#nurieux_to_#législatives
#nurieux,#circo0105,1,undirected,#nurieux_to_#circo0105
#législatives,#circo0105,1,undirected,#législatives_to_#circo0105
#circo3503,#fh2012,1,undirected,#circo3503_to_#fh2012
#circo3503,#lccm,1,undirected,#circo3503_to_#lccm
#fh2012,#lccm,1,undirected,#fh2012_to_#lccm
#eelv,#ps,1,undirected,#eelv_to_#ps
#eelv,#bergerac,1,undirected,#eelv_to_#bergerac
#eelv,#législatives,1,undirected,#eelv_to_#législatives
#eelv,#circo2402,1,undirected,#eelv_to_#circo2402
#ps,#bergerac,1,undirected,#ps_to_#bergerac
#ps,#législatives,1,undirected,#ps_to_#législatives
#ps,#circo2402,1,undirected,#ps_to_#circo2402
#bergerac,#législatives,1,undirected,#bergerac_to_#législatives
#bergerac,#circo2402,1,undirected,#bergerac_to_#circo2402
#législatives,#circo2402,1,undirected,#législatives_to_#circo2402
#nimesolympique,#ligue2,1,undirected,#nimesolympique_to_#ligue2
#législatives,#circo2402,1,undirected,#législatives_to_#circo2402
#législatives,#bergerac,1,undirected,#législatives_to_#bergerac
#législatives,#eelv,1,undirected,#législatives_to_#eelv
#législatives,#ps,1,undirected,#législatives_to_#ps
#circo2402,#bergerac,1,undirected,#circo2402_to_#bergerac
#circo2402,#eelv,1,undirected,#circo2402_to_#eelv
#circo2402,#ps,1,undirected,#circo2402_to_#ps
#bergerac,#eelv,1,undirected,#bergerac_to_#eelv
#bergerac,#ps,1,undirected,#bergerac_to_#ps
#eelv,#ps,1,undirected,#eelv_to_#ps
#fh2012,#circo3503,1,undirected,#fh2012_to_#circo3503
#circo2402,#eelv,1,undirected,#circo2402_to_#eelv
#circo2402,#ps,1,undirected,#circo2402_to_#ps
#circo2402,#bergerac,1,undirected,#circo2402_to_#bergerac
#eelv,#ps,1,undirected,#eelv_to_#ps
#eelv,#bergerac,1,undirected,#eelv_to_#bergerac
#ps,#bergerac,1,undirected,#ps_to_#bergerac
#chabot,#poincaré,1,undirected,#chabot_to_#poincaré
#bergerac,#circo2402,1,undirected,#bergerac_to_#circo2402
#bergerac,#législatives,1,undirected,#bergerac_to_#législatives
#bergerac,#ps,1,undirected,#bergerac_to_#ps
#bergerac,#eelv,1,undirected,#bergerac_to_#eelv
#circo2402,#législatives,1,undirected,#circo2402_to_#législatives
#circo2402,#ps,1,undirected,#circo2402_to_#ps
#circo2402,#eelv,1,undirected,#circo2402_to_#eelv
#législatives,#ps,1,undirected,#législatives_to_#ps
#législatives,#eelv,1,undirected,#législatives_to_#eelv
#ps,#eelv,1,undirected,#ps_to_#eelv
#circo2402,#bergerac,1,undirected,#circo2402_to_#bergerac
#circo2402,#législatives,1,undirected,#circo2402_to_#législatives
#circo2402,#eelv,1,undirected,#circo2402_to_#eelv
#circo2402,#ps,1,undirected,#circo2402_to_#ps
#bergerac,#législatives,1,undirected,#bergerac_to_#législatives
#bergerac,#eelv,1,undirected,#bergerac_to_#eelv
#bergerac,#ps,1,undirected,#bergerac_to_#ps
#législatives,#eelv,1,undirected,#législatives_to_#eelv
#législatives,#ps,1,undirected,#législatives_to_#ps
#eelv,#ps,1,undirected,#eelv_to_#ps
#eelv,#ps,1,undirected,#eelv_to_#ps
#eelv,#circo2402,1,undirected,#eelv_to_#circo2402
#ps,#circo2402,1,undirected,#ps_to_#circo2402
#circo2402,#législatives,1,undirected,#circo2402_to_#législatives
#bergerac,#circo2402,1,undirected,#bergerac_to_#circo2402
#bergerac,#législatives,1,undirected,#bergerac_to_#législatives
#circo2402,#législatives,1,undirected,#circo2402_to_#législatives
#bergerac,#circo2402,1,undirected,#bergerac_to_#circo2402
#bergerac,#circo2402,1,undirected,#bergerac_to_#circo2402
#bergerac,#législatives,1,undirected,#bergerac_to_#législatives
#circo2402,#législatives,1,undirected,#circo2402_to_#législatives
#législatives,#tenay,1,undirected,#législatives_to_#tenay
#législatives,#circo0105,1,undirected,#législatives_to_#circo0105
#tenay,#circo0105,1,undirected,#tenay_to_#circo0105
#passationdepouvoirs,#ayrault,1,undirected,#passationdepouvoirs_to_#ayrault
#passationdepouvoirs,#merkel,1,undirected,#passationdepouvoirs_to_#merkel
#ayrault,#merkel,1,undirected,#ayrault_to_#merkel
#passationdepouvoirs,#ayrault,1,undirected,#passationdepouvoirs_to_#ayrault
#passationdepouvoirs,#allemagne,1,undirected,#passationdepouvoirs_to_#allemagne
#ayrault,#allemagne,1,undirected,#ayrault_to_#allemagne
#législatives,#jujurieux,1,undirected,#législatives_to_#jujurieux
#législatives,#circo0105,1,undirected,#législatives_to_#circo0105
#jujurieux,#circo0105,1,undirected,#jujurieux_to_#circo0105
#législative,#circo0105,1,undirected,#législative_to_#circo0105
#legislatives,#bugey,1,undirected,#legislatives_to_#bugey
#legislatives,#terroir,1,undirected,#legislatives_to_#terroir
#bugey,#terroir,1,undirected,#bugey_to_#terroir
#circo2402,#législatives,1,undirected,#circo2402_to_#législatives
#circo2402,#bergerac,1,undirected,#circo2402_to_#bergerac
#circo2402,#legislatives,1,undirected,#circo2402_to_#legislatives
#bergerac,#legislatives,1,undirected,#bergerac_to_#legislatives
#elysee,#passationdepouvoir,1,undirected,#elysee_to_#passationdepouvoir
#circo2402,#bergerac,1,undirected,#circo2402_to_#bergerac
#circo2402,#législatives,1,undirected,#circo2402_to_#législatives
#bergerac,#législatives,1,undirected,#bergerac_to_#législatives
#bergerac,#legislatives,1,undirected,#bergerac_to_#legislatives
#bergerac,#circo2402,1,undirected,#bergerac_to_#circo2402
#legislatives,#circo2402,1,undirected,#legislatives_to_#circo2402
#élysée,#an,1,undirected,#élysée_to_#an
#bergerac,#legislatives,1,undirected,#bergerac_to_#legislatives
#circo2402,#bergerac,1,undirected,#circo2402_to_#bergerac
#circo2402,#législatives,1,undirected,#circo2402_to_#législatives
#bergerac,#législatives,1,undirected,#bergerac_to_#législatives
#bergerac,#circo2402,1,undirected,#bergerac_to_#circo2402
#bergerac,#législatives,1,undirected,#bergerac_to_#législatives
#circo2402,#législatives,1,undirected,#circo2402_to_#législatives
#8mai,#hollande,1,undirected,#8mai_to_#hollande
#législatives,#bpump,1,undirected,#législatives_to_#bpump
#législatives,#bergerac,1,undirected,#législatives_to_#bergerac
#bergerac,#dissidence,1,undirected,#bergerac_to_#dissidence
#bergerac,#législatives,1,undirected,#bergerac_to_#législatives
#dissidence,#législatives,1,undirected,#dissidence_to_#législatives
#bergerac,#législatives,1,undirected,#bergerac_to_#législatives
#dissidence,#législatives,1,undirected,#dissidence_to_#législatives
#dissidence,#bergerac,1,undirected,#dissidence_to_#bergerac
#législatives,#bergerac,1,undirected,#législatives_to_#bergerac
#bergerac,#législatives,1,undirected,#bergerac_to_#législatives
#bergerac,#dissidence,1,undirected,#bergerac_to_#dissidence
#législatives,#dissidence,1,undirected,#législatives_to_#dissidence
#bergerac,#legislatives,1,undirected,#bergerac_to_#legislatives
#radiolondres,#participation,1,undirected,#radiolondres_to_#participation
#radiolondres,#hausse,1,undirected,#radiolondres_to_#hausse
#radiolondres,#gouda,1,undirected,#radiolondres_to_#gouda
#participation,#hausse,1,undirected,#participation_to_#hausse
#participation,#gouda,1,undirected,#participation_to_#gouda
#hausse,#gouda,1,undirected,#hausse_to_#gouda
#laragne,#gap,1,undirected,#laragne_to_#gap
#laragne,#ns2012,1,undirected,#laragne_to_#ns2012
#gap,#ns2012,1,undirected,#gap_to_#ns2012
#bayrou,#valeurs,1,undirected,#bayrou_to_#valeurs
#bayrou,#ns2012,1,undirected,#bayrou_to_#ns2012
#valeurs,#ns2012,1,undirected,#valeurs_to_#ns2012
#annecy,#ns2012,1,undirected,#annecy_to_#ns2012
#annecy,#franceforte,1,undirected,#annecy_to_#franceforte
#ns2012,#franceforte,1,undirected,#ns2012_to_#franceforte
#ledébat,#ns2012,1,undirected,#ledébat_to_#ns2012
#haute,#ledebat,1,undirected,#haute_to_#ledebat
#haute,#avecsarkozy,1,undirected,#haute_to_#avecsarkozy
#ledebat,#avecsarkozy,1,undirected,#ledebat_to_#avecsarkozy
#trocadéro,#tousautrocadero,1,undirected,#trocadéro_to_#tousautrocadero
#trocadéro,#ns2012,1,undirected,#trocadéro_to_#ns2012
#trocadéro,#franceforte,1,undirected,#trocadéro_to_#franceforte
#tousautrocadero,#ns2012,1,undirected,#tousautrocadero_to_#ns2012
#tousautrocadero,#franceforte,1,undirected,#tousautrocadero_to_#franceforte
#ns2012,#franceforte,1,undirected,#ns2012_to_#franceforte
#avignon,#trocadero,1,undirected,#avignon_to_#trocadero
#avignon,#ns2012,1,undirected,#avignon_to_#ns2012
#avignon,#franceforte,1,undirected,#avignon_to_#franceforte
#trocadero,#ns2012,1,undirected,#trocadero_to_#ns2012
#trocadero,#franceforte,1,undirected,#trocadero_to_#franceforte
#ns2012,#franceforte,1,undirected,#ns2012_to_#franceforte
#meeting,#dijon,1,undirected,#meeting_to_#dijon
#meeting,#ns2012,1,undirected,#meeting_to_#ns2012
#dijon,#ns2012,1,undirected,#dijon_to_#ns2012
#bergerac,#législatives,1,undirected,#bergerac_to_#législatives
#ps,#ns2012,1,undirected,#ps_to_#ns2012
#ldc,#chelsea,1,undirected,#ldc_to_#chelsea
#ldc,#barca,1,undirected,#ldc_to_#barca
#chelsea,#barca,1,undirected,#chelsea_to_#barca
#ns2012,#lafranceforte,1,undirected,#ns2012_to_#lafranceforte
#bourgenbresse,#ns2012,1,undirected,#bourgenbresse_to_#ns2012
#bourgenbresse,#ain,1,undirected,#bourgenbresse_to_#ain
#ns2012,#ain,1,undirected,#ns2012_to_#ain
#bourg,#fillon,1,undirected,#bourg_to_#fillon
#bourg,#ns2012,1,undirected,#bourg_to_#ns2012
#fillon,#ns2012,1,undirected,#fillon_to_#ns2012
#ns2012,#ain,1,undirected,#ns2012_to_#ain
#ain,#droite,1,undirected,#ain_to_#droite
#ns2012,#lafranceforte,1,undirected,#ns2012_to_#lafranceforte
#mutualite,#ns2012,1,undirected,#mutualite_to_#ns2012
#franceforte,#ns2012,1,undirected,#franceforte_to_#ns2012
#nice,#ns2012,1,undirected,#nice_to_#ns2012
#nice,#lafranceforte,1,undirected,#nice_to_#lafranceforte
#ns2012,#lafranceforte,1,undirected,#ns2012_to_#lafranceforte
#sarkotour,#journaliste,1,undirected,#sarkotour_to_#journaliste
#rennes,#ns2012,1,undirected,#rennes_to_#ns2012
#rennes,#lafranceforte,1,undirected,#rennes_to_#lafranceforte
#ns2012,#lafranceforte,1,undirected,#ns2012_to_#lafranceforte
#haute,#ns2012,1,undirected,#haute_to_#ns2012
#hollande,#france,1,undirected,#hollande_to_#france
#hollande,#titanic,1,undirected,#hollande_to_#titanic
#france,#titanic,1,undirected,#france_to_#titanic
#ns2012,#hollande,1,undirected,#ns2012_to_#hollande
#franceforte,#ns2012,1,undirected,#franceforte_to_#ns2012
#franceforte,#concorde,1,undirected,#franceforte_to_#concorde
#ns2012,#concorde,1,undirected,#ns2012_to_#concorde
#lafranceforte,#concorde,1,undirected,#lafranceforte_to_#concorde
#concorde,#franceforte,1,undirected,#concorde_to_#franceforte
#concorde,#ns2012,1,undirected,#concorde_to_#ns2012
#franceforte,#ns2012,1,undirected,#franceforte_to_#ns2012
#législatives,#bergerac,1,undirected,#législatives_to_#bergerac
#ddpa,#lafranceforte,1,undirected,#ddpa_to_#lafranceforte
#ns2012,#lafranceforte,1,undirected,#ns2012_to_#lafranceforte
#ns2012,#lafranceforte,1,undirected,#ns2012_to_#lafranceforte
#législatives2012,#bergerac,1,undirected,#législatives2012_to_#bergerac
#ericbarone,#bugey,1,undirected,#ericbarone_to_#bugey
#matraquagefiscal,#lafranceforte,1,undirected,#matraquagefiscal_to_#lafranceforte
#france,#projetns,1,undirected,#france_to_#projetns
#majoritesilencieuse,#projetns,1,undirected,#majoritesilencieuse_to_#projetns
#majoritesilencieuse,#lafranceforte,1,undirected,#majoritesilencieuse_to_#lafranceforte
#projetns,#lafranceforte,1,undirected,#projetns_to_#lafranceforte
#projetns,#lafranceforte,1,undirected,#projetns_to_#lafranceforte
#projetns,#lafranceforte,1,undirected,#projetns_to_#lafranceforte
#concorde,#paris,1,undirected,#concorde_to_#paris
#concorde,#majoritesilencieuse,1,undirected,#concorde_to_#majoritesilencieuse
#paris,#majoritesilencieuse,1,undirected,#paris_to_#majoritesilencieuse
#projetns,#lafranceforte,1,undirected,#projetns_to_#lafranceforte
#france,#projetns,1,undirected,#france_to_#projetns
#projetns,#lafranceforte,1,undirected,#projetns_to_#lafranceforte
#lafranceforte,#projetns,1,undirected,#lafranceforte_to_#projetns
#projetns,#lafranceforte,1,undirected,#projetns_to_#lafranceforte
#descoings,#excellence,1,undirected,#descoings_to_#excellence
#fhollande,#lpj,1,undirected,#fhollande_to_#lpj
#fhollande,#melenchon,1,undirected,#fhollande_to_#melenchon
#lpj,#melenchon,1,undirected,#lpj_to_#melenchon
#lpj,#lol,1,undirected,#lpj_to_#lol
#lpj,#ns2012,1,undirected,#lpj_to_#ns2012
#lol,#ns2012,1,undirected,#lol_to_#ns2012
#banquedelajeunesse,#jeunes,1,undirected,#banquedelajeunesse_to_#jeunes
#banquedelajeunesse,#classesmoyennes,1,undirected,#banquedelajeunesse_to_#classesmoyennes
#banquedelajeunesse,#etudes,1,undirected,#banquedelajeunesse_to_#etudes
#banquedelajeunesse,#ns2012,1,undirected,#banquedelajeunesse_to_#ns2012
#jeunes,#classesmoyennes,1,undirected,#jeunes_to_#classesmoyennes
#jeunes,#etudes,1,undirected,#jeunes_to_#etudes
#jeunes,#ns2012,1,undirected,#jeunes_to_#ns2012
#classesmoyennes,#etudes,1,undirected,#classesmoyennes_to_#etudes
#classesmoyennes,#ns2012,1,undirected,#classesmoyennes_to_#ns2012
#etudes,#ns2012,1,undirected,#etudes_to_#ns2012
#banquedelajeunesse,#classesmoyennes,1,undirected,#banquedelajeunesse_to_#classesmoyennes
#nsjeunes,#lafranceforte,1,undirected,#nsjeunes_to_#lafranceforte
#jeunesse,#audace,1,undirected,#jeunesse_to_#audace
#nsjeunes,#jeunesse,1,undirected,#nsjeunes_to_#jeunesse
#nsjeunes,#audace,1,undirected,#nsjeunes_to_#audace
#nsjeunes,#dynamisme,1,undirected,#nsjeunes_to_#dynamisme
#audace,#dynamisme,1,undirected,#audace_to_#dynamisme
#france,#deficit,1,undirected,#france_to_#deficit
#france,#centre,1,undirected,#france_to_#centre
#deficit,#centre,1,undirected,#deficit_to_#centre
#eelv,#rhonealpes,1,undirected,#eelv_to_#rhonealpes
#rhonealpes,#ps,1,undirected,#rhonealpes_to_#ps
#rhonealpes,#frontdegauche,1,undirected,#rhonealpes_to_#frontdegauche
#ps,#frontdegauche,1,undirected,#ps_to_#frontdegauche
#fhollande,#melenchon,1,undirected,#fhollande_to_#melenchon
#sarkozy,#nimes,1,undirected,#sarkozy_to_#nimes
#sarkozy,#victoire,1,undirected,#sarkozy_to_#victoire
#nimes,#victoire,1,undirected,#nimes_to_#victoire
#franceculture,#paris,1,undirected,#franceculture_to_#paris
#franceculture,#jeux,1,undirected,#franceculture_to_#jeux
#paris,#jeux,1,undirected,#paris_to_#jeux
#uso,#oyonnax,1,undirected,#uso_to_#oyonnax
#region,#commissioneco,1,undirected,#region_to_#commissioneco
#strasbourg,#ns2012,1,undirected,#strasbourg_to_#ns2012
#strasbourg,#france,1,undirected,#strasbourg_to_#france
#strasbourg,#monde,1,undirected,#strasbourg_to_#monde
#strasbourg,#valeurs,1,undirected,#strasbourg_to_#valeurs
#ns2012,#france,1,undirected,#ns2012_to_#france
#ns2012,#monde,1,undirected,#ns2012_to_#monde
#ns2012,#valeurs,1,undirected,#ns2012_to_#valeurs
#france,#monde,1,undirected,#france_to_#monde
#france,#valeurs,1,undirected,#france_to_#valeurs
#monde,#valeurs,1,undirected,#monde_to_#valeurs
#strasbourg,#meeting,1,undirected,#strasbourg_to_#meeting
#strasbourg,#ns2012,1,undirected,#strasbourg_to_#ns2012
#strasbourg,#ps,1,undirected,#strasbourg_to_#ps
#meeting,#ns2012,1,undirected,#meeting_to_#ns2012
#meeting,#ps,1,undirected,#meeting_to_#ps
#ns2012,#ps,1,undirected,#ns2012_to_#ps
#angola,#directan,1,undirected,#angola_to_#directan
#lauremanaudou,#jo,1,undirected,#lauremanaudou_to_#jo
#lauremanaudou,#londres,1,undirected,#lauremanaudou_to_#londres
#lauremanaudou,#amberieu,1,undirected,#lauremanaudou_to_#amberieu
#jo,#londres,1,undirected,#jo_to_#londres
#jo,#amberieu,1,undirected,#jo_to_#amberieu
#londres,#amberieu,1,undirected,#londres_to_#amberieu
#toulouse,#hollande2012,1,undirected,#toulouse_to_#hollande2012
#oyonnax,#gouverneur,1,undirected,#oyonnax_to_#gouverneur
#oyonnax,#pennsylvanie,1,undirected,#oyonnax_to_#pennsylvanie
#oyonnax,#industriels,1,undirected,#oyonnax_to_#industriels
#oyonnax,#plasticvallee,1,undirected,#oyonnax_to_#plasticvallee
#oyonnax,#usines,1,undirected,#oyonnax_to_#usines
#gouverneur,#pennsylvanie,1,undirected,#gouverneur_to_#pennsylvanie
#gouverneur,#industriels,1,undirected,#gouverneur_to_#industriels
#gouverneur,#plasticvallee,1,undirected,#gouverneur_to_#plasticvallee
#gouverneur,#usines,1,undirected,#gouverneur_to_#usines
#pennsylvanie,#industriels,1,undirected,#pennsylvanie_to_#industriels
#pennsylvanie,#plasticvallee,1,undirected,#pennsylvanie_to_#plasticvallee
#pennsylvanie,#usines,1,undirected,#pennsylvanie_to_#usines
#industriels,#plasticvallee,1,undirected,#industriels_to_#plasticvallee
#industriels,#usines,1,undirected,#industriels_to_#usines
#plasticvallee,#usines,1,undirected,#plasticvallee_to_#usines
#tuerie,#toulouse,1,undirected,#tuerie_to_#toulouse
#tuerie,#union,1,undirected,#tuerie_to_#union
#tuerie,#tragedie,1,undirected,#tuerie_to_#tragedie
#toulouse,#union,1,undirected,#toulouse_to_#union
#toulouse,#tragedie,1,undirected,#toulouse_to_#tragedie
#union,#tragedie,1,undirected,#union_to_#tragedie
#bonsens,#francais,1,undirected,#bonsens_to_#francais
#bonsens,#capital,1,undirected,#bonsens_to_#capital
#francais,#capital,1,undirected,#francais_to_#capital
#lyon,#ns2012,1,undirected,#lyon_to_#ns2012
#lyon,#lafranceforte,1,undirected,#lyon_to_#lafranceforte
#ns2012,#lafranceforte,1,undirected,#ns2012_to_#lafranceforte
#lyon,#ns2012,1,undirected,#lyon_to_#ns2012
#lyon,#lafranceforte,1,undirected,#lyon_to_#lafranceforte
