source,target,weight,type,code
#ns2012,#lafranceforte,1,undirected,#ns2012_to_#lafranceforte
#lyon,#ns2012,1,undirected,#lyon_to_#ns2012
#lyon,#lafranceforte,1,undirected,#lyon_to_#lafranceforte
#ns2012,#lafranceforte,1,undirected,#ns2012_to_#lafranceforte
#lgj,#president,1,undirected,#lgj_to_#president
#lgj,#candidat,1,undirected,#lgj_to_#candidat
#president,#candidat,1,undirected,#president_to_#candidat
#petitjournal,#canal,1,undirected,#petitjournal_to_#canal
#hollande,#fh2012,1,undirected,#hollande_to_#fh2012
#copé,#fabius,1,undirected,#copé_to_#fabius
#fh2012,#hollande,1,undirected,#fh2012_to_#hollande
#fh2012,#chute,1,undirected,#fh2012_to_#chute
#hollande,#chute,1,undirected,#hollande_to_#chute
#copé,#nucleaire,1,undirected,#copé_to_#nucleaire
#copé,#copé,1,undirected,#copé_to_#copé
#nucleaire,#copé,1,undirected,#nucleaire_to_#copé
#copé,#defense,1,undirected,#copé_to_#defense
#copé,#balbutiements,1,undirected,#copé_to_#balbutiements
#copé,#hollande,1,undirected,#copé_to_#hollande
#defense,#balbutiements,1,undirected,#defense_to_#balbutiements
#defense,#hollande,1,undirected,#defense_to_#hollande
#balbutiements,#hollande,1,undirected,#balbutiements_to_#hollande
#copé,#dpda,1,undirected,#copé_to_#dpda
#copé,#fh2012,1,undirected,#copé_to_#fh2012
#dpda,#fh2012,1,undirected,#dpda_to_#fh2012
#copé,#otan,1,undirected,#copé_to_#otan
#fh2012,#guerini,1,undirected,#fh2012_to_#guerini
#fh2012,#justice,1,undirected,#fh2012_to_#justice
#fh2012,#intox,1,undirected,#fh2012_to_#intox
#guerini,#justice,1,undirected,#guerini_to_#justice
#guerini,#intox,1,undirected,#guerini_to_#intox
#justice,#intox,1,undirected,#justice_to_#intox
#fh2012,#indecis,1,undirected,#fh2012_to_#indecis
#fh2012,#fh2012,1,undirected,#fh2012_to_#fh2012
#fh2012,#pujadas,1,undirected,#fh2012_to_#pujadas
#indecis,#fh2012,1,undirected,#indecis_to_#fh2012
#indecis,#pujadas,1,undirected,#indecis_to_#pujadas
#fh2012,#pujadas,1,undirected,#fh2012_to_#pujadas
#fh2012,#dpda,1,undirected,#fh2012_to_#dpda
#fh2012,#europe,1,undirected,#fh2012_to_#europe
#fh2012,#irrealiste,1,undirected,#fh2012_to_#irrealiste
#fh2012,#merkel,1,undirected,#fh2012_to_#merkel
#dpda,#europe,1,undirected,#dpda_to_#europe
#dpda,#irrealiste,1,undirected,#dpda_to_#irrealiste
#dpda,#merkel,1,undirected,#dpda_to_#merkel
#europe,#irrealiste,1,undirected,#europe_to_#irrealiste
#europe,#merkel,1,undirected,#europe_to_#merkel
#irrealiste,#merkel,1,undirected,#irrealiste_to_#merkel
#fh2012,#impot,1,undirected,#fh2012_to_#impot
#fh2012,#classesmoyennes,1,undirected,#fh2012_to_#classesmoyennes
#impot,#classesmoyennes,1,undirected,#impot_to_#classesmoyennes
#fh2012,#viandehallal,1,undirected,#fh2012_to_#viandehallal
#eautiede,#dpda,1,undirected,#eautiede_to_#dpda
#eautiede,#fh2012,1,undirected,#eautiede_to_#fh2012
#dpda,#fh2012,1,undirected,#dpda_to_#fh2012
#fh2012,#dpda,1,undirected,#fh2012_to_#dpda
#fh2012,#flou,1,undirected,#fh2012_to_#flou
#fh2012,#eautiede,1,undirected,#fh2012_to_#eautiede
#fh2012,#consensusmou,1,undirected,#fh2012_to_#consensusmou
#dpda,#flou,1,undirected,#dpda_to_#flou
#dpda,#eautiede,1,undirected,#dpda_to_#eautiede
#dpda,#consensusmou,1,undirected,#dpda_to_#consensusmou
#flou,#eautiede,1,undirected,#flou_to_#eautiede
#flou,#consensusmou,1,undirected,#flou_to_#consensusmou
#eautiede,#consensusmou,1,undirected,#eautiede_to_#consensusmou
#fhollande,#rennes,1,undirected,#fhollande_to_#rennes
#verhofstadt,#ns2012,1,undirected,#verhofstadt_to_#ns2012
#fh2012,#audience,1,undirected,#fh2012_to_#audience
#fh2012,#marseille,1,undirected,#fh2012_to_#marseille
#audience,#marseille,1,undirected,#audience_to_#marseille
#paris,#sarkozy,1,undirected,#paris_to_#sarkozy
#paris,#parlementaires,1,undirected,#paris_to_#parlementaires
#paris,#ns2012,1,undirected,#paris_to_#ns2012
#sarkozy,#parlementaires,1,undirected,#sarkozy_to_#parlementaires
#sarkozy,#ns2012,1,undirected,#sarkozy_to_#ns2012
#parlementaires,#ns2012,1,undirected,#parlementaires_to_#ns2012
#ns2012,#lafranceforte,1,undirected,#ns2012_to_#lafranceforte
#om,#championsleague,1,undirected,#om_to_#championsleague
#strasbourg,#pe,1,undirected,#strasbourg_to_#pe
#strasbourg,#epp,1,undirected,#strasbourg_to_#epp
#strasbourg,#barroso,1,undirected,#strasbourg_to_#barroso
#pe,#epp,1,undirected,#pe_to_#epp
#pe,#barroso,1,undirected,#pe_to_#barroso
#epp,#barroso,1,undirected,#epp_to_#barroso
#fhollande,#hollandeneant,1,undirected,#fhollande_to_#hollandeneant
#fhollande,#ps,1,undirected,#fhollande_to_#ps
#fhollande,#ns2012,1,undirected,#fhollande_to_#ns2012
#ps,#ns2012,1,undirected,#ps_to_#ns2012
#sarkozy,#tf1,1,undirected,#sarkozy_to_#tf1
#sarkozy,#france2,1,undirected,#sarkozy_to_#france2
#sarkozy,#villepinte,1,undirected,#sarkozy_to_#villepinte
#sarkozy,#sondage,1,undirected,#sarkozy_to_#sondage
#sarkozy,#ns2012,1,undirected,#sarkozy_to_#ns2012
#sarkozy,#lafranceforte,1,undirected,#sarkozy_to_#lafranceforte
#tf1,#france2,1,undirected,#tf1_to_#france2
#tf1,#villepinte,1,undirected,#tf1_to_#villepinte
#tf1,#sondage,1,undirected,#tf1_to_#sondage
#tf1,#ns2012,1,undirected,#tf1_to_#ns2012
#tf1,#lafranceforte,1,undirected,#tf1_to_#lafranceforte
#france2,#villepinte,1,undirected,#france2_to_#villepinte
#france2,#sondage,1,undirected,#france2_to_#sondage
#france2,#ns2012,1,undirected,#france2_to_#ns2012
#france2,#lafranceforte,1,undirected,#france2_to_#lafranceforte
#villepinte,#sondage,1,undirected,#villepinte_to_#sondage
#villepinte,#ns2012,1,undirected,#villepinte_to_#ns2012
#villepinte,#lafranceforte,1,undirected,#villepinte_to_#lafranceforte
#sondage,#ns2012,1,undirected,#sondage_to_#ns2012
#sondage,#lafranceforte,1,undirected,#sondage_to_#lafranceforte
#ns2012,#lafranceforte,1,undirected,#ns2012_to_#lafranceforte
#sarkozy,#reciprocite,1,undirected,#sarkozy_to_#reciprocite
#sarkozy,#ns2012,1,undirected,#sarkozy_to_#ns2012
#sarkozy,#lafranceforte,1,undirected,#sarkozy_to_#lafranceforte
