id,label,count
#circo3503,#circo3503,12
#an,#an,107
#ayrault,#ayrault,32
#matignon,#matignon,9
#circo2402,#circo2402,22
#eelv,#eelv,318
#ps,#ps,490
#bergerac,#bergerac,26
#pacé,#pacé,1
#irodoüer,#irodoüer,1
#retraites,#retraites,13
#brénod,#brénod,1
#bellignat,#bellignat,1
#samognat,#samognat,1
#izernore,#izernore,1
#circo0105,#circo0105,8
#echallon,#echallon,1
#oyonnax,#oyonnax,9
#ump,#ump,316
#bugey,#bugey,5
#législatives,#législatives,205
#circo24,#circo24,2
#cormaranche,#cormaranche,1
#législative,#législative,10
#montauban,#montauban,14
#peyriat,#peyriat,1
#nurieux,#nurieux,1
#fh2012,#fh2012,3846
#lccm,#lccm,175
#nimesolympique,#nimesolympique,1
#ligue2,#ligue2,1
#chabot,#chabot,2
#poincaré,#poincaré,1
#rfi,#rfi,6
#directan,#directan,316
#aubry,#aubry,31
#tenay,#tenay,1
#passationdepouvoirs,#passationdepouvoirs,2
#merkel,#merkel,27
#allemagne,#allemagne,8
#jujurieux,#jujurieux,1
#elysée,#elysée,9
#legislatives,#legislatives,285
#terroir,#terroir,1
#elysee,#elysee,34
#passationdepouvoir,#passationdepouvoir,1
#élysée,#élysée,3
#bpump,#bpump,5
#cohabitation,#cohabitation,1
#8mai,#8mai,9
#hollande,#hollande,809
#dissidence,#dissidence,3
#mutualite,#mutualite,2
#radiolondres,#radiolondres,13
#participation,#participation,1
#hausse,#hausse,1
#gouda,#gouda,2
#laragne,#laragne,1
#gap,#gap,1
#ns2012,#ns2012,1405
#bayrou,#bayrou,82
#valeurs,#valeurs,6
#annecy,#annecy,53
#franceforte,#franceforte,252
#ledébat,#ledébat,70
#haute,#haute,2
#ledebat,#ledebat,152
#avecsarkozy,#avecsarkozy,139
#trocadero,#trocadero,26
#trocadéro,#trocadéro,8
#tousautrocadero,#tousautrocadero,1
#avignon,#avignon,10
#meeting,#meeting,11
#dijon,#dijon,102
#ldc,#ldc,14
#chelsea,#chelsea,17
#barca,#barca,2
#lafranceforte,#lafranceforte,434
#fillon,#fillon,194
#bourgenbresse,#bourgenbresse,5
#ain,#ain,8
#bourg,#bourg,2
#droite,#droite,4
#nice,#nice,14
#sarkotour,#sarkotour,1
#journaliste,#journaliste,2
#rennes,#rennes,29
#france,#france,84
#titanic,#titanic,2
#concorde,#concorde,50
#dpda,#dpda,545
#ddpa,#ddpa,11
#quevilly,#quevilly,4
#législatives2012,#législatives2012,104
#chambéry,#chambéry,3
#aubrac,#aubrac,3
#talk,#talk,1
#presidentielle,#presidentielle,123
#ericbarone,#ericbarone,2
#projetns,#projetns,28
#matraquagefiscal,#matraquagefiscal,4
#majoritesilencieuse,#majoritesilencieuse,3
#paris,#paris,61
#descoings,#descoings,6
#excellence,#excellence,1
#sciencespo,#sciencespo,4
#lpj,#lpj,5
#changerleslunettes,#changerleslunettes,1
#fhollande,#fhollande,56
#melenchon,#melenchon,36
#lol,#lol,8
#facebook,#facebook,12
#banquedelajeunesse,#banquedelajeunesse,2
#jeunes,#jeunes,4
#classesmoyennes,#classesmoyennes,4
#etudes,#etudes,1
#nsjeunes,#nsjeunes,6
#jeunesse,#jeunesse,10
#audace,#audace,3
#dynamisme,#dynamisme,2
#deficit,#deficit,2
#centre,#centre,5
#rhonealpes,#rhonealpes,4
#frontdegauche,#frontdegauche,5
#sarkozy,#sarkozy,897
#nimes,#nimes,17
#victoire,#victoire,4
#franceculture,#franceculture,5
#jeux,#jeux,2
#uso,#uso,2
#region,#region,1
#commissioneco,#commissioneco,1
#deputeeuropeen,#deputeeuropeen,2
#strasbourg,#strasbourg,43
#monde,#monde,2
#toulouse,#toulouse,124
#angola,#angola,1
#lauremanaudou,#lauremanaudou,1
#jo,#jo,4
#londres,#londres,15
#amberieu,#amberieu,1
#hollande2012,#hollande2012,75
#gouverneur,#gouverneur,1
#pennsylvanie,#pennsylvanie,1
#industriels,#industriels,1
#plasticvallee,#plasticvallee,1
#usines,#usines,1
#confidentiels,#confidentiels,1
#tuerie,#tuerie,2
#union,#union,3
#tragedie,#tragedie,1
#bonsens,#bonsens,6
#francais,#francais,6
#capital,#capital,34
#lyon,#lyon,75
#lgj,#lgj,22
#president,#president,5
#candidat,#candidat,7
#petitjournal,#petitjournal,2
#canal,#canal,8
#copé,#copé,29
#fabius,#fabius,46
#chute,#chute,1
#nucleaire,#nucleaire,34
#defense,#defense,7
#balbutiements,#balbutiements,1
#otan,#otan,3
#guerini,#guerini,6
#justice,#justice,13
#intox,#intox,5
#indecis,#indecis,1
#pujadas,#pujadas,7
#europe,#europe,71
#irrealiste,#irrealiste,1
#impot,#impot,1
#viandehallal,#viandehallal,1
#eautiede,#eautiede,2
#flou,#flou,9
#consensusmou,#consensusmou,1
#verhofstadt,#verhofstadt,3
#audience,#audience,1
#marseille,#marseille,211
#parlementaires,#parlementaires,6
#om,#om,18
#championsleague,#championsleague,1
#pe,#pe,4
#epp,#epp,1
#barroso,#barroso,1
#hollandeneant,#hollandeneant,1
#tf1,#tf1,88
#france2,#france2,107
#villepinte,#villepinte,133
#sondage,#sondage,5
#hopitaux,#hopitaux,1
#reciprocite,#reciprocite,1
#politique,#politique,24
#pdc,#pdc,221
#passoire,#passoire,1
#peuple,#peuple,4
#nouveaucentre,#nouveaucentre,4
#eurexpo,#eurexpo,1
#buyeuropeanact,#buyeuropeanact,1
#oyo,#oyo,1
#qag,#qag,187
#congres,#congres,1
#fdsea,#fdsea,3
#agriculteurs,#agriculteurs,2
#pom,#pom,1
#journeedelafemme,#journeedelafemme,5
#egalitedessexes,#egalitedessexes,1
#salaires,#salaires,1
#brenod,#brenod,1
#valls,#valls,10
#accoyer,#accoyer,11
#bruxelles,#bruxelles,2
#entreprises,#entreprises,2
#croissance,#croissance,7
#erasmus,#erasmus,1
#entrepreneurs,#entrepreneurs,3
#formation,#formation,3
#apprentissage,#apprentissage,5
#entrepreneuriat,#entrepreneuriat,1
#crise,#crise,19
#galileo,#galileo,1
#alzheimer,#alzheimer,1
#argis,#argis,1
#bouvier,#bouvier,3
#daniels,#daniels,2
#sia2012,#sia2012,1
#sia,#sia,4
#confpresse,#confpresse,3
#cluses,#cluses,2
#juppe,#juppe,14
#oscar2012,#oscar2012,4
#theartist,#theartist,14
#tchad,#tchad,1
#syrie,#syrie,26
#leclerc,#leclerc,1
#lcp,#lcp,45
#mes,#mes,26
#proportionnelle,#proportionnelle,1
#etats,#etats,1
#direct,#direct,7
#comores,#comores,2
#letchimy,#letchimy,23
#pr,#pr,10
#centristes,#centristes,7
#humanistes,#humanistes,5
#france3,#france3,15
#flickr,#flickr,2
#photos,#photos,2
#plfr,#plfr,4
#logement,#logement,30
#environnement,#environnement,5
#lejaby,#lejaby,5
#rafale,#rafale,3
#neige,#neige,1
#hautbugey,#hautbugey,2
#cnump,#cnump,27
#voeux,#voeux,28
#arbent,#arbent,2
#bugiste,#bugiste,1
#bresse,#bresse,2
#classes,#classes,1
#afghanistan,#afghanistan,15
#bourget,#bourget,155
#quotient,#quotient,2
#mitterrand,#mitterrand,14
#propositions,#propositions,3
#nantua,#nantua,1
#plastic,#plastic,1
#psychodrame,#psychodrame,1
#triplea,#triplea,1
#evajoly,#evajoly,41
#republicain,#republicain,1
#tobin,#tobin,1
#capitaine,#capitaine,1
#tvasociale,#tvasociale,44
#ttf,#ttf,6
#llegislatives2012,#llegislatives2012,1
#legislatives2012,#legislatives2012,203
#circo8308,#circo8308,20
#intempéries,#intempéries,1
#grêle,#grêle,1
#sinistre,#sinistre,1
#var,#var,2
#draguignan,#draguignan,7
#surleterrain,#surleterrain,76
#oat2012,#oat2012,40
#transenprovence,#transenprovence,1
#callas,#callas,1
#mons,#mons,1
#cpnt,#cpnt,3
#ruralité,#ruralité,3
#valeursetconvictions,#valeursetconvictions,2
#rians,#rians,7
#varages,#varages,1
#ensemble,#ensemble,7
#moissacbellevue,#moissacbellevue,1
#rassemblement,#rassemblement,3
#saintjulienlemontagnier,#saintjulienlemontagnier,1
#unité,#unité,5
#jacob,#jacob,3
#aups,#aups,3
#entrecasteaux,#entrecasteaux,1
#fox,#fox,1
#premiere,#premiere,1
#monsieur,#monsieur,1
#flayosc,#flayosc,2
#ensemblechoisissonslafrance,#ensemblechoisissonslafrance,4
#8ecirconscriptionduvar,#8ecirconscriptionduvar,4
#trierweiler,#trierweiler,1
#provence,#provence,2
#lavaguebleuelavande,#lavaguebleuelavande,1
#dimancheplus,#dimancheplus,5
#lapix,#lapix,2
#vaucluse,#vaucluse,9
#bédouin,#bédouin,1
#flassan,#flassan,1
#modene,#modene,1
#vaguebleuelavande,#vaguebleuelavande,1
#salernes,#salernes,1
#radio,#radio,5
#rcf,#rcf,2
#presidentielles,#presidentielles,10
#elections,#elections,13
#lci,#lci,45
#6mai,#6mai,24
#mélenchon,#mélenchon,27
#eva,#eva,3
#dsk,#dsk,14
#merah,#merah,8
#jevotens,#jevotens,41
#francois,#francois,6
#jeanne,#jeanne,1
#ffback,#ffback,166
#ff,#ff,410
#tabarot,#tabarot,43
#logements,#logements,3
#châlons,#châlons,2
#petroplus,#petroplus,11
#elbeuf,#elbeuf,1
#argonne,#argonne,3
#valmy,#valmy,1
#vincennes,#vincennes,64
#bruno,#bruno,2
#straphael,#straphael,1
