source,target
142632679,91376641
142632679,230495042
142632679,1169584397517017089
142632679,861587157416378368
142632679,3124227529
142632679,1979469114
142632679,1465704961
142632679,1174627465307840512
142632679,582980672
142632679,866255052104769538
142632679,85308962
142632679,81371982
142632679,294655305
142632679,244026421
142632679,862575147085164544
142632679,1260659091522936833
142632679,2348352426
142632679,118977224
142632679,1132247563
142632679,864772781858279424
142632679,993455378020098049
142632679,911979209714802688
142632679,912024416271392769
142632679,2157820581
142632679,864160956070469633
142632679,985802003149402113
142632679,865700310131630080
142632679,938164497545682946
142632679,1090991802176413696
142632679,52764210
142632679,865297846786031616
142632679,118061183
142632679,531618516
142632679,308514268
142632679,3130755833
142632679,920588743
142632679,1019559283774644224
142632679,1429780352
142632679,1248356491607842817
142632679,372703035
142632679,52779939
142632679,304899435
142632679,861524040837734400
142632679,531550143
142632679,939271648880062464
142632679,107393186
142632679,1462132418
142632679,864844727828582400
142632679,806865153472004097
142632679,864560669814816771
142632679,755737508
142632679,786575225316110336
142632679,616609800
142632679,541023150
142632679,347374931
142632679,863317587865866241
142632679,864397221533552642
142632679,402214102
142632679,386751099
142632679,859500950620385282
142632679,864386355622817792
142632679,414717475
142632679,869538181158498308
142632679,864711815552532480
142632679,853657404252311552
142632679,906171729772507136
142632679,864927261274845184
142632679,863039952401170433
142632679,865305435707985921
142632679,1117388032775208960
142632679,178485109
142632679,1106588431289851905
142632679,4309055487
142632679,869560974323396608
142632679,447845263
142632679,59800834
142632679,116229959
142632679,338910451
142632679,71610575
142632679,863116339
142632679,282687869
142632679,870665966862163968
142632679,730306077456269312
142632679,90409722
142632679,863383857072140288
142632679,560299831
142632679,865482011523166209
142632679,864828415760900097
142632679,455602715
142632679,406978622
142632679,207187853
142632679,987366042
142632679,862754226589577216
142632679,1446653228
142632679,864199451375751168
142632679,863333535066836993
142632679,863134711715180544
142632679,610649874
142632679,865478836053344257
142632679,4121844143
142632679,864077786209812480
142632679,864825463927164928
142632679,317420284
142632679,1035417716730023936
142632679,866911134837862400
142632679,867852249673891840
142632679,2208536261
142632679,435623552
142632679,810591493597630464
142632679,864410712487206916
142632679,319756723
142632679,862952634164154368
142632679,865939828550098948
142632679,2968734303
142632679,156032740
142632679,2979937161
142632679,864509060816793601
142632679,545389706
142632679,865234300190564352
142632679,501564320
142632679,864668681967632384
142632679,903271106303455234
142632679,912604842643816448
142632679,917647276176273408
142632679,1037275272364650496
142632679,2859306226
142632679,464437513
142632679,816639704464576515
142632679,865125792602304512
142632679,866081129048223746
142632679,549319211
142632679,538968658
142632679,863756233093894145
142632679,866413487723040771
142632679,115715214
142632679,862750783804190721
142632679,3063365597
142632679,48664671
142632679,294130753
142632679,864572608674754565
142632679,1359255073
142632679,99056802
142632679,400123170
142632679,1264462435
142632679,865133923361312768
142632679,2336493002
142632679,849566433138933760
142632679,866757734875750400
142632679,866695760905154560
142632679,863763746027696129
142632679,865810478315995136
142632679,866826365152235521
142632679,856059444
142632679,866717602298691584
142632679,245747441
142632679,119509912
142632679,430662853
142632679,117052245
142632679,842102300
142632679,3337632231
142632679,1906998314
142632679,1415006550
142632679,880849230
142632679,866314144403927040
142632679,3137717312
142632679,863439731979427843
142632679,2279236686
142632679,903635970955890688
142632679,999986689622855680
142632679,866604231847018496
142632679,889730003495211009
142632679,67336250
142632679,66954824
142632679,3299222093
142632679,863844064961200130
142632679,1605436740
142632679,888033440393822208
142632679,865162242861535232
142632679,862791076633083904
142632679,2495899075
142632679,1890087739
142632679,863389083099426816
142632679,607447732
142632679,606371561
142632679,845978405917069312
142632679,302693733
142632679,278063562
142632679,542779549
142632679,885051305835802625
142632679,4842549479
142632679,121106417
142632679,827528847797153792
142632679,818210180756336641
142632679,277091443
142632679,3940110196
142632679,926414640946581505
142632679,816357406280192000
142632679,889759349450604544
142632679,4070381506
142632679,862770295219916802
142632679,750407584897724416
142632679,802991763476594688
142632679,110988733
142632679,615337066
142632679,845025344600113152
142632679,870216254300270593
142632679,17137760
142632679,864238987669643265
142632679,879795305226665985
142632679,1299738390
142632679,848443405676032000
142632679,315284579
142632679,15243103
142632679,911178226533388288
142632679,865463897976733698
142632679,866978105189171201
142632679,864560136974737408
142632679,554262922
142632679,864604534122962944
142632679,73632751
142632679,831910700574457856
142632679,745992482387812352
142632679,739098870844690432
142632679,3887630259
142632679,507168683
142632679,484754469
142632679,372686353
142632679,214562815
142632679,864819251496046592
142632679,843864760689016833
142632679,864095016943308800
142632679,753225726
142632679,2796422286
142632679,864856599021727744
142632679,864042960119320576
142632679,1415195768
142632679,2863717025
142632679,526824153
142632679,837694453250936837
142632679,865114227580784640
142632679,574566042
142632679,1255991936
142632679,570133214
142632679,214823261
142632679,866946801726877697
142632679,864165870213500928
142632679,789792281540890625
142632679,864228297613479938
142632679,866509140570648576
142632679,192986664
142632679,471076259
142632679,3791340735
142632679,1436327000
142632679,865209415628140544
142632679,864531980033110018
142632679,864057336440213504
142632679,814331851070382080
142632679,122155194
142632679,864926925734772736
142632679,389644606
142632679,866236903066128384
142632679,314472161
142632679,801121064357085184
142632679,865286612837650432
142632679,339155330
142632679,864528441303027712
142632679,92254303
142632679,863834372125970432
142632679,705617755
142632679,472903732
142632679,865135799293050880
142632679,846977443571388420
142632679,791251850628591620
142632679,807901725113851904
142632679,2269369240
142632679,980242016
142632679,863846061202341890
142632679,827581398965944320
142632679,862190399938539520
142632679,827280437059805186
142632679,865558964976603139
142632679,862722286444564482
142632679,864547522588667909
142632679,863155122041483264
142632679,413114866
142632679,581648342
142632679,139594328
142632679,738724327059656705
142632679,864215726269378561
142632679,2568594594
142632679,802997806252388352
142632679,42256235
142632679,69870071
142632679,1145576430
142632679,582220122
142632679,835149861267849217
142632679,1114759578
142632679,793725741355630592
142632679,753101760563179520
142632679,35712322
142632679,379718466
142632679,864415461072658432
142632679,795233446121664512
