id,label,count,start,end
#macronmarseille,#macronmarseille,46,2017-04-01,2017-04-04
#bge,#bge,1,2017-03-31,2017-03-31
#fillonprésident,#fillonprésident,28,2017-03-20,2017-04-19
#hontederien,#hontederien,3,2017-03-29,2017-04-06
#rouenrivedroite,#rouenrivedroite,1,2017-03-29,2017-03-29
#lcimatin,#lcimatin,29,2017-01-30,2017-05-30
#guyane,#guyane,103,2017-01-10,2017-05-29
#procuration,#procuration,6,2017-02-26,2017-05-29
#fulelli,#fulelli,1,2017-03-25,2017-03-25
#bastelica,#bastelica,1,2017-03-25,2017-03-25
#hamon,#hamon,203,2017-01-04,2017-05-22
#sport,#sport,44,2017-01-07,2017-05-31
#hollande,#hollande,224,2017-01-01,2017-05-29
#fillon,#fillon,621,2017-01-02,2017-05-26
#olmicappela,#olmicappela,1,2017-03-24,2017-03-24
#numérique,#numérique,28,2017-01-03,2017-05-26
#lemissionpolitique,#lemissionpolitique,587,2017-01-05,2017-05-19
#jevotefillon,#jevotefillon,120,2017-01-13,2017-04-23
#moinsmieux,#moinsmieux,2,2017-02-26,2017-03-21
#comon2017,#comon2017,1,2017-03-21,2017-03-21
#jdd,#jdd,3,2017-03-19,2017-04-23
#debattf1,#debattf1,135,2017-03-18,2017-03-23
#fillonpresident,#fillonpresident,197,2017-02-11,2017-04-21
#legranddébat,#legranddébat,445,2017-03-20,2017-05-29
#jt20h,#jt20h,94,2017-03-02,2017-05-30
#autableau,#autableau,32,2017-03-19,2017-03-20
#bastia,#bastia,6,2017-03-19,2017-05-31
#festa,#festa,1,2017-03-19,2017-03-19
#tradizione,#tradizione,1,2017-03-19,2017-03-19
#cultura,#cultura,3,2017-03-19,2017-05-03
#fervore,#fervore,1,2017-03-19,2017-03-19
#ps,#ps,147,2017-01-04,2017-05-31
#spd,#spd,3,2017-03-04,2017-03-19
#nonau19mars,#nonau19mars,2,2017-03-19,2017-03-19
#chatel,#chatel,3,2017-01-28,2017-04-09
#pompiers,#pompiers,9,2017-01-14,2017-03-24
#bourdindirect,#bourdindirect,540,2017-01-02,2017-05-29
#projetfillon,#projetfillon,61,2017-02-16,2017-04-21
#gonaives,#gonaives,1,2017-03-13,2017-03-13
#le20h,#le20h,50,2017-01-26,2017-03-13
#20h,#20h,23,2017-01-29,2017-04-30
#tf1lejt,#tf1lejt,12,2017-02-03,2017-03-12
#integrité,#integrité,1,2017-03-09,2017-03-09
#auropa,#auropa,3,2017-02-22,2017-03-09
#gozo,#gozo,1,2017-03-09,2017-03-09
#malta,#malta,1,2017-03-09,2017-03-09
#maretarraniu,#maretarraniu,1,2017-03-08,2017-03-08
#bastacusì,#bastacusì,1,2017-03-07,2017-03-07
#unlilacheremufà,#unlilacheremufà,1,2017-03-07,2017-03-07
#environnement,#environnement,58,2017-01-03,2017-05-31
#agriculture,#agriculture,116,2017-01-04,2017-05-31
#enr,#enr,42,2017-01-05,2017-05-21
#pme,#pme,18,2017-01-16,2017-05-21
#maniftrocadero,#maniftrocadero,1,2017-03-05,2017-03-05
#stopcorruption,#stopcorruption,5,2017-02-19,2017-03-09
#etatdedroit,#etatdedroit,2,2017-03-01,2017-03-05
#trocadero,#trocadero,25,2017-03-04,2017-04-15
#fillontrocadero,#fillontrocadero,20,2017-03-05,2017-03-05
#planb,#planb,34,2017-01-15,2017-03-14
#20000donateurs,#20000donateurs,1,2017-03-03,2017-03-03
#rtlmatin,#rtlmatin,203,2017-01-04,2017-05-29
#programmeem,#programmeem,395,2017-03-02,2017-05-31
#egalite,#egalite,12,2017-01-21,2017-04-23
#taubirademission,#taubirademission,1,2017-03-01,2017-03-01
#kiosque,#kiosque,17,2017-03-01,2017-05-02
#sima2017,#sima2017,4,2017-02-27,2017-02-28
#bure,#bure,1,2017-02-28,2017-02-28
#som2017,#som2017,2,2017-02-27,2017-02-27
#tristesse,#tristesse,1,2017-02-27,2017-02-27
#compol,#compol,3,2017-02-22,2017-03-10
#affaires,#affaires,2,2017-02-26,2017-03-26
#lepen,#lepen,220,2017-01-05,2017-05-30
#marcdufumier,#marcdufumier,1,2017-02-26,2017-02-26
#marine2017,#marine2017,249,2017-01-03,2017-05-05
#cpac2017,#cpac2017,5,2017-02-24,2017-02-24
#causamaiò,#causamaiò,1,2017-02-24,2017-02-24
#vittoria,#vittoria,2,2017-02-15,2017-02-24
#economie,#economie,15,2017-02-12,2017-05-30
#investissement,#investissement,2,2017-02-24,2017-05-18
#cpac,#cpac,1,2017-02-23,2017-02-23
#bannon,#bannon,1,2017-02-23,2017-02-23
#rassemblement,#rassemblement,37,2017-01-11,2017-05-31
#energies,#energies,1,2017-02-23,2017-02-23
#washington,#washington,2,2017-02-23,2017-05-17
#bayrou,#bayrou,94,2017-01-17,2017-05-31
#progressisme,#progressisme,5,2017-02-21,2017-05-05
