id,label,username,followers
1013150310280388609,Christinedecod1,Christine decodts,7.0
789381772190416896,ElsaFaucillon,Elsa Faucillon,34052.0
2890748502,ChristellePetex,Christelle Petex,218.0
1526201039770341378,DanielGrenon89,Daniel GRENON,346.0
864397221533552642,JeanMarieFIEVET,Jean-Marie Fiévet,4224.0
2308358192,MarieLebec78,Marie Lebec,24488.0
1283323346076282880,PNaillet,Philippe Naillet,718.0
83424512,hsaulignac,Herve Saulignac,5297.0
1030167852,BallardPhilippe,Philippe Ballard,13591.0
38005919,MickaelBouloux,Mickaël Bouloux,1641.0
961643053181210624,DavyRimane,Davy Rimane,2095.0
4073986679,pacolombani,Paul-André Colombani,5307.0
864772781858279424,AudeLuquet77,Aude Luquet,2085.0
1015105716,charles_rodwell,Charles Rodwell,1164.0
1894149410,fmeunier19,Frédérique Meunier,609.0
472903732,Aurelientache,Aurélien Taché,34211.0
120728993,cplassard,Christophe PLASSARD - Député - Charente Maritime,475.0
1851724262,Meyer_Habib,Meyer Habib,20817.0
869559473442082816,arnaudlg89,Arnaud Le Gall - #NUPES #circo9509,2235.0
443129202,Valerie_Rabault,Valérie Rabault 🇨🇵🇪🇺🇺🇦,23297.0
865133923361312768,M_MeynierM,Marjolaine Meynier,5098.0
865071853982932993,A_Saintoul,Aurélien Saintoul,2512.0
36350521,NicolasDragon,Nicolas DRAGON Ⓜ️🇫🇷,1252.0
864595354578300928,PrudhommeLoic,Loïc Prud'homme,34732.0
450968514,Paul_Molac,Paul Molac,8686.0
865114227580784640,fdescrozaille,Frédéric Descrozaille,4993.0
1522200304896589824,chikirouparis,Sophia Chikirou,7257.0
26725581,JeromeGuedj,Jérôme Guedj,25185.0
1526227912222990336,FalconFrederic,Frederic Falcon Ⓜ️,768.0
807901725113851904,stephanie_rist,Stéphanie Rist,7860.0
866236903066128384,NicoleDubre17,Nicole Dubré Chirat,4917.0
1486082571565998082,ManonMeunier_UP,Manon Meunier,913.0
1429780352,S_Mazars,Stéphane Mazars,3275.0
974580536923623424,sebastiendelogu,Sébastien Delogu,5910.0
842102300,ericalauzet,Éric Alauzet,4991.0
119695589,EmilieChandler,Emilie Chandler,1607.0
843748232,GillesLeGendre,Gilles Le Gendre,41810.0
209825928,GDarmanin,Gérald DARMANIN,330980.0
863756233093894145,V_Riotton,Véronique Riotton,5916.0
278063562,olivierdussopt,Olivier Dussopt,46396.0
844476456164114432,VRolland73,Vincent Rolland,1600.0
1522927838420213761,KekeRachel,Rachel Keke,50058.0
2237993772,DelphLingemann,Delphine Lingemann,1062.0
1061362951720964096,pasclavergne,𝗣𝗮𝘀𝗰𝗮𝗹 𝗟𝗮𝘃𝗲𝗿𝗴𝗻𝗲,1486.0
450644069,PotierDominique,Dominique Potier,10433.0
1191973610845560832,MC_Garin,Marie-Charlotte Garin,4243.0
143502161,PierreCazeneuve,Pierre Cazeneuve,2751.0
41844495,robinreda,Robin Reda,13920.0
1222799668150665216,ASabatou,Alexandre Sabatou Ⓜ️,1191.0
402214102,laqhila,Mohamed Laqhila - Député des Bouches-du-Rhône,3746.0
912604842643816448,DeputeCausse,Lionel Causse,2976.0
3184011603,ChrisBapt,Christian Baptiste,1800.0
453492111,BSaintHuile,Benjamin Saint-Huile,1715.0
76123775,nthierry,Nicolas THIERRY,4550.0
865162242861535232,GrazieMelchior,Graziella Melchior,5306.0
416471806,vseitlinger,Vincent SEITLINGER,35.0
600345740,olivierveran,Olivier Véran,414587.0
1952505139,l_margueritte,Louis Margueritte,1178.0
1073862562792521729,Parmentiercaro7,Caroline Parmentier Ⓜ️,10665.0
4842549479,ViryStephane,Stéphane VIRY,2602.0
768822092154466305,LaurenceCristol,Laurence Cristol,490.0
1539150269514137604,LauAlexandre12,Laurent Alexandre,978.0
422118715,BeaBellamy85,Beatrice Bellamy,1472.0
98735932,YoannGillet30,Yoann Gillet 🇫🇷,10276.0
1516703761141534723,MichelHerbillon,Michel Herbillon,256.0
1257362284898287619,CASTORJeanVict1,CASTOR Jean-Victor,26.0
2250213234,B_Marchive,Bastien Marchive,1853.0
1522966362267734017,ChudeauR,Roger Chudeau🇨🇵Député RN #4102,596.0
2305186092,oliviermarleix,🇫🇷 Olivier Marleix,12981.0
2953113070,olivier_serva,Olivier SERVA,4316.0
2279236686,CIsaacSibille,Cyrille IsaacSibille,2869.0
865135799293050880,CarolineJanvier,Caroline Janvier,8293.0
