source,target
142632679,86740782
142632679,1522200304896589824
142632679,47118854
142632679,91376641
142632679,131940062
142632679,410184399
142632679,955882356472270848
142632679,116402625
142632679,1470168289926164488
142632679,72705507
142632679,328510700
142632679,1340622409997684738
142632679,198646864
142632679,1979469114
142632679,582980672
142632679,866255052104769538
142632679,85308962
142632679,244026421
142632679,862575147085164544
142632679,864772781858279424
142632679,993455378020098049
142632679,912024416271392769
142632679,2157820581
142632679,864160956070469633
142632679,985802003149402113
142632679,118061183
142632679,308514268
142632679,3130755833
142632679,1019559283774644224
142632679,135158345
142632679,1429780352
142632679,372703035
142632679,531550143
142632679,107393186
142632679,864844727828582400
142632679,806865153472004097
142632679,143502161
142632679,864560669814816771
142632679,755737508
142632679,757825981310574592
142632679,616609800
142632679,541023150
142632679,1090311673985056770
142632679,248291986
142632679,347374931
142632679,864397221533552642
142632679,402214102
142632679,859500950620385282
142632679,869538181158498308
142632679,935221976049815552
142632679,863039952401170433
142632679,1061362951720964096
142632679,178485109
142632679,4309055487
142632679,447845263
142632679,338910451
142632679,2583539802
142632679,1270648130
142632679,560299831
142632679,865482011523166209
142632679,455602715
142632679,391919054
142632679,406978622
142632679,207187853
142632679,864488046355517440
142632679,862754226589577216
142632679,1446653228
142632679,864199451375751168
142632679,863333535066836993
142632679,863134711715180544
142632679,4121844143
142632679,864077786209812480
142632679,317420284
142632679,1035417716730023936
142632679,866911134837862400
142632679,2208536261
142632679,435623552
142632679,810591493597630464
142632679,862952634164154368
142632679,2968734303
142632679,156032740
142632679,912604842643816448
142632679,464437513
142632679,866081129048223746
142632679,549319211
142632679,863756233093894145
142632679,115715214
142632679,3063365597
142632679,294130753
142632679,1359255073
142632679,865133923361312768
142632679,2336493002
142632679,866695760905154560
142632679,865810478315995136
142632679,245747441
142632679,1134506407
142632679,842102300
142632679,1906998314
142632679,880849230
142632679,3137717312
142632679,2279236686
142632679,66954824
142632679,17747931
142632679,1605436740
142632679,865162242861535232
142632679,862791076633083904
142632679,1890087739
142632679,606371561
142632679,302693733
142632679,278063562
142632679,4842549479
142632679,818210180756336641
142632679,277091443
142632679,938533192142872577
142632679,3940110196
142632679,926414640946581505
142632679,889759349450604544
142632679,802991763476594688
142632679,110988733
142632679,522248478
142632679,845025344600113152
142632679,17137760
142632679,864238987669643265
142632679,1299738390
142632679,15243103
142632679,911178226533388288
142632679,864560136974737408
142632679,73632751
142632679,745992482387812352
142632679,507168683
142632679,864095016943308800
142632679,892467069685555201
142632679,1415195768
142632679,2863717025
142632679,2656608996
142632679,837694453250936837
142632679,865114227580784640
142632679,574566042
142632679,2822339036
142632679,1255991936
142632679,570133214
142632679,471076259
142632679,865209415628140544
142632679,814331851070382080
142632679,122155194
142632679,864926925734772736
142632679,389644606
142632679,866236903066128384
142632679,801121064357085184
142632679,865286612837650432
142632679,339155330
142632679,863834372125970432
142632679,472903732
142632679,865135799293050880
142632679,807901725113851904
142632679,2269369240
142632679,980242016
142632679,862190399938539520
142632679,864547522588667909
142632679,863155122041483264
142632679,738724327059656705
142632679,864215726269378561
142632679,802997806252388352
142632679,42256235
142632679,69870071
142632679,582220122
142632679,793725741355630592
142632679,35712322
142632679,379718466
142632679,708604271701434368
142632679,2308358192
142632679,2433624242
142632679,828000112215355393
142632679,864116167841116160
142632679,600345740
142632679,864254888599068673
142632679,209825928
142632679,560628457
142632679,862999383499042816
142632679,454336881
142632679,37509285
142632679,382747703
142632679,14830116
142632679,1341729894
142632679,4055897896
142632679,162094209
142632679,1911591212
142632679,843748232
142632679,282119887
4714098677,1230860822521532417
4714098677,892467069685555201
4714098677,2583539802
